user_link	video_id	count(*)
http://www.youtube.com/channel/UCDqVkhxOQpf9K0Isy_blSiA	7kHskk_wZVM	3
http://www.youtube.com/channel/UCyI4f8LXu6oSbkcCC5v-FvQ	7kHskk_wZVM	3
http://www.youtube.com/channel/UCHRj8Ozo5tTfCLIXinLYfOQ	rFWZPHdxQj4	3
http://www.youtube.com/channel/UCwjWHzZPCZG_thJ_WM-JyMA	pQO8hEWBdaQ	3
http://www.youtube.com/channel/UCkXbaGB6rnfkg_r5YEmS9IQ	p_V6UKn3hCc	3
http://www.youtube.com/channel/UC-SRX15yFTDMTrHvBs1jeCg	p_V6UKn3hCc	3
http://www.youtube.com/channel/UC9hSM69dqWEnBoq1XLzznbg	p_V6UKn3hCc	3
http://www.youtube.com/channel/UCyGCzqBP5y5pEWGl6PvusMw	OHp8TvFpQ2w	3
http://www.youtube.com/channel/UCDwTXJWaRnPZJ_pCE352uoA	T8Br-imQdKk	3
http://www.youtube.com/channel/UCDwTXJWaRnPZJ_pCE352uoA	6Yp7US4verI	3
http://www.youtube.com/channel/UCtRX8ljfWjCQaJqdKpV1qkg	gsMpqYxRinM	3
http://www.youtube.com/channel/UCDqVkhxOQpf9K0Isy_blSiA	gsMpqYxRinM	3
http://www.youtube.com/channel/UC-SRX15yFTDMTrHvBs1jeCg	VnZ1SO3ilnU	3
https://www.youtube.com/channel/UCTNNfRLX7Cf5Z4WjPTAurzA	hl4ICjyPkgA	3
https://www.youtube.com/channel/UC04H7BOqUpcIivQu5qqdFEQ	4UBIqFwsDKY	3
https://www.youtube.com/channel/UCiBf0GBHFVmXM3ycaA4rI6Q	SA0mzqpoVL0	3
https://www.youtube.com/channel/UCWfeXtiac73FigPd97YfmIQ	wUZISF_G5Mg	3
https://www.youtube.com/channel/UCSXnJi4TVRvj_59x_WGTMuQ	1PCEgZGCcac	3
https://www.youtube.com/channel/UCEm5Z-rZ96EF1Cy44-N7kFQ	LpOeKUXWxFo	3
https://www.youtube.com/channel/UCzYlIh5_hmogGGtux_a9BIA	_fb_zQSh_yY	3
https://www.youtube.com/channel/UCEgoSwBSBJNo6kBGDpmitjg	iBYXpwgwRBE	3
https://www.youtube.com/channel/UC-wJkGSMuhz-UaKKmrz6P7g	jJSOJ0s06I8	3
https://www.youtube.com/channel/UCG81H-UbG_OaULIPrS-PlYg	qPO5wKczxiQ	3
https://www.youtube.com/channel/UCSQ2OAlplmLfQtoz1smxLLQ	qPO5wKczxiQ	3
https://www.youtube.com/channel/UCo_cZ09xBgJKJLig76I6pdg	os2uXSzPQs4	3
https://www.youtube.com/channel/UCZUm58oh_1K__sbGmEYNuLg	dhGqgsxa4D0	3
https://www.youtube.com/channel/UCs2cQO67AZuYw6KMb2ZXM2g	OGcwb1rQE44	3
https://www.youtube.com/channel/UCqzLbD1hCyoXveQF0NapQ2Q	4m0sLBEmp74	3
https://www.youtube.com/channel/UCuk7_-xQy3x4Mv_Q_8dOvBg	YKZPKbm71Ho	3
https://www.youtube.com/channel/UCeR7VOW4QDL3X8lMqwUDmXg	0bucJB2xjhM	3
https://www.youtube.com/channel/UCKoUNlqnGzwznGwUiYgXhwA	6aZA1jWd1js	3
https://www.youtube.com/channel/UChEBRLarYLA1qYWWsa-HDWg	3beUX_p61MA	3
https://www.youtube.com/channel/UCMSZWFVIdjdqxeLF9Xps3Wg	Z7XZHonO8bI	3
https://www.youtube.com/channel/UCRATb4Vsxa-GarBFzkO64ng	6PN6AGHO52E	3
https://www.youtube.com/channel/UCnft_imF9NXaQwAbx8o5xuA	R_-7wwP8dJU	3
https://www.youtube.com/channel/UCTrkxQviVARh0XuxMeQp6Zw	IU7UKajX4TU	3
https://www.youtube.com/channel/UC9BPh57uMCAKBfDmqAYG6LQ	iIAQEXdwOKg	3
https://www.youtube.com/channel/UCoZfGgGAO_96R-rzxkEJL4g	ox2lgLYFsrY	3
https://www.youtube.com/channel/UCmHD-2Qh642tM0sS-dxf-eg	ox2lgLYFsrY	3
https://www.youtube.com/channel/UCL3DBxlThLf7RuhPzwaCWtw	4FABSbBN-fo	3
https://www.youtube.com/channel/UCtoxjyLL9MoZnNGRCWRTIfA	JWFaAVP6CW8	3
https://www.youtube.com/channel/UCfW_w37Qw-mxKujXGqhO2fQ	wQDW4PIKrYs	3
https://www.youtube.com/channel/UC04H7BOqUpcIivQu5qqdFEQ	Kw6bekndO_s	3
https://www.youtube.com/channel/UCfOJlBE32-tXRbeeKZPgg-Q	eLvaBH67Qxo	3
https://www.youtube.com/channel/UCe-HjohxpsxbSZSEP5cC8tQ	OCXC_44FGx8	3
https://www.youtube.com/channel/UC_HwnqKfi0BLfD6jyucaHtg	ZpfhKuhXnMI	3
https://www.youtube.com/channel/UCmZz0qK0XRFFW0ZqjU2WvjQ	YRg5a5SfjLw	3
https://www.youtube.com/channel/UC2Vpa2s-L_5Xp9CL9ZVe3mw	fn6yuwNYq44	3
https://www.youtube.com/channel/UCQJGRs1atLxdBrirOqZEg-Q	Io0O7UaHmUQ	3
https://www.youtube.com/channel/UCljMV4CvoA9Iz4929ZNg3ng	f6-ONuniSi0	3
https://www.youtube.com/channel/UCEgoSwBSBJNo6kBGDpmitjg	qTDoChmaWSE	3
https://www.youtube.com/channel/UCSeey4VWiTukKxJpubjmjmg	fzFVe5mY1h8	3
https://www.youtube.com/channel/UCUsrXfXcw651fksHN126_OA	fupBmWFJX_o	3
https://www.youtube.com/channel/UCeDSnr1tpvCqfDOE0WIFnfg	VtF6H9e12hQ	3
https://www.youtube.com/channel/UC_NpRTTZRbWHO-HKu7-83Qw	XSzEx1suwT4	3
https://www.youtube.com/channel/UC2w-Id2KMKB4nuKnElTFKTw	t132yD_EI3w	3
https://www.youtube.com/channel/UC45i7GAJB_yce2PETrJR7UQ	zENGa8htxMs	3
https://www.youtube.com/channel/UC2w-Id2KMKB4nuKnElTFKTw	vaBAqsmJMHI	3
https://www.youtube.com/channel/UCDYkjJ478YRRotOuq4Bepnw	XgHEGb_xgJc	3
https://www.youtube.com/channel/UCfvC2I56cmgvio_O6DLr_ug	bvSPfGfABik	3
https://www.youtube.com/channel/UC_NpRTTZRbWHO-HKu7-83Qw	Kvy2-WZu5Cw	3
https://www.youtube.com/channel/UCUy7p_yYV_X2rx0LNn_7TBA	kBMG0k3IUs0	3
https://www.youtube.com/channel/UCiBf0GBHFVmXM3ycaA4rI6Q	leGh7KpsLBw	3
https://www.youtube.com/channel/UCi8Hoa4vVcuCpwXRqaXPmuQ	rdk0__LkK9w	3
https://www.youtube.com/channel/UCd50mQcpLHDTUpHvCoOfm8Q	hl4ICjyPkgA	2
https://www.youtube.com/channel/UCwdjFsirN0j1Hj9MoSC9Y0Q	-b_QjyIaa9U	2
https://www.youtube.com/channel/UCAOvsoIDEdaV1Q5d5M3elBw	vC0r63OM4Do	2
https://www.youtube.com/channel/UCFEPSfw-uQPFhyR9R91kHjQ	nfCZqSebCuE	2
https://www.youtube.com/channel/UCgQExvCc70CkXX3QcuN70vA	PXvV5vOelI0	2
https://www.youtube.com/channel/UCo2JStrMPKHsRsBWa3JxZ8w	nprr5bststo	2
https://www.youtube.com/channel/UCPLWRqGqquw7JawS3iLQclw	nprr5bststo	2
https://www.youtube.com/channel/UCCZZ5dVhTXTvOTCF_tMSpjg	nprr5bststo	2
https://www.youtube.com/channel/UCzMGpe1Il2Y4z-WgcFcS_tw	KTr1xMXZ48E	2
https://www.youtube.com/channel/UCorofbEx8yuWoJ99IrcSUig	rEbzASd5oXA	2
https://www.youtube.com/channel/UCzPtYxY0KwLhHKUX6MCBi9g	eexmdt3Q8yk	2
https://www.youtube.com/channel/UCgRbmeTE3ZC0f9g1gmDCUNg	4UBIqFwsDKY	2
https://www.youtube.com/channel/UC3UE6mInpcERLjYvi33nKRg	SknW7NtR_M8	2
https://www.youtube.com/channel/UCFDp29r-YRV_iPVDo2ps65Q	SknW7NtR_M8	2
https://www.youtube.com/channel/UC4MPGZKXzeX_fW-KgVeekKw	SknW7NtR_M8	2
https://www.youtube.com/channel/UCm1nhLZzaWmb5bTg8r3mPDA	SknW7NtR_M8	2
https://www.youtube.com/channel/UCcHWTVRngBu8h1Nw6H5pTxQ	SknW7NtR_M8	2
https://www.youtube.com/channel/UCwjQIkXqJ-Uti0crU5714hQ	xLl4sHQwh0Y	2
https://www.youtube.com/channel/UCwH3RSkO2L6IED4GWzsAOOA	HScz0mjI7A0	2
https://www.youtube.com/channel/UCdHuPlGDrNVe9OFYLwpaLCA	wK2fMr1RWi8	2
